Name,Country or Region,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Organization Type
Osaka University,JAPAN,1381,7825,70.81824764663287,160,0.824223678493845,Academic
Kyoto University,JAPAN,1381,8222,73.28023171614771,160,0.7331015930485156,Academic
University of Manchester,ENGLAND,1375,13407,78.76363636363637,162,1.254972290909091,Academic
Tohoku University,JAPAN,1361,8727,76.6348273328435,163,0.8630038941954447,Academic
University of Science & Technology Beijing,CHINA MAINLAND,1360,12011,75.80882352941177,164,1.0930246323529411,Academic
King Saud University,SAUDI ARABIA,1355,13556,83.61623616236162,165,1.3841057564575647,Academic
University of Waterloo,CANADA,1354,13490,83.08714918759233,166,1.3565375184638109,Academic
Universiti Sains Malaysia,MALAYSIA,1348,8075,71.58753709198812,167,0.9036045994065282,Academic
Universidade Estadual Paulista,BRAZIL,1343,13126,83.39538346984364,168,1.1815498138495906,Academic
Royal Melbourne Institute of Technology (RMIT),AUSTRALIA,1336,17127,84.95508982035929,169,1.46730501497006,Academic
German Aerospace Centre (DLR),GERMANY (FED REP GER),1332,19084,81.38138138138137,170,1.6289201201201204,Research Institute
Nanchang University,CHINA MAINLAND,1331,17669,88.05409466566492,171,1.5798769346356125,Academic
Northwest A&F University - China,CHINA MAINLAND,1331,15450,89.63185574755823,171,1.3450335837716003,Academic
University of Guelph,CANADA,1312,15346,83.6890243902439,173,1.4214284298780488,Academic
University of Tennessee System,USA,1308,12069,67.73700305810397,174,1.0892099388379204,Academic System
University of Toronto,CANADA,1304,14416,81.05828220858896,175,1.5454905674846626,Academic
University of Valencia,SPAIN,1304,19803,87.65337423312883,175,1.4599266871165644,Academic
Southwest Jiaotong University,CHINA MAINLAND,1302,14197,80.26113671274962,177,1.2489593701996928,Academic
University of Milan,ITALY,1288,11968,84.62732919254658,178,1.0987979813664597,Academic
Beijing University of Technology,CHINA MAINLAND,1281,8236,66.7447306791569,179,0.8770925839188135,Academic
University of Copenhagen,DENMARK,1279,16115,89.28850664581705,180,1.3826632525410478,Academic
National Institute of Advanced Industrial Science & Technology (AIST),JAPAN,1277,6566,72.90524667188724,181,0.6141059514487079,Research Institute
City University of Hong Kong,HONG KONG,1276,17313,86.05015673981191,182,1.7050228056426333,Academic
Lund University,SWEDEN,1269,10561,70.44917257683215,183,1.0334101654846335,Academic
University of Erlangen Nuremberg,GERMANY (FED REP GER),1268,9681,75.39432176656152,184,1.4191258675078866,Academic
Ecole Polytechnique Federale de Lausanne,SWITZERLAND,1263,12276,78.06809184481394,185,1.5490483768804435,Academic
University of Minnesota System,USA,1255,12936,77.21115537848605,186,1.2729827888446217,Academic System
Hanyang University,SOUTH KOREA,1252,13099,82.74760383386581,187,1.2038069488817893,Academic
Iowa State University,USA,1248,13419,80.28846153846155,188,1.3469998397435898,Academic
Monash University,AUSTRALIA,1247,15117,85.40497193263833,189,1.3804752205292703,Academic
UK Research & Innovation (UKRI),ENGLAND,1245,15482,86.10441767068274,190,1.3856420883534137,Government
Southwest University - China,CHINA MAINLAND,1237,12886,85.04446240905416,191,1.2449459175424413,Academic
Rutgers State University New Brunswick,USA,1236,15050,84.54692556634305,192,1.4445083333333333,Academic
California State University System,USA,1231,12826,76.52315190901706,193,1.3711984565393989,Academic System
Yonsei University,SOUTH KOREA,1228,9232,80.94462540716613,194,0.9012301302931597,Academic
Indian Council of Agricultural Research (ICAR),INDIA,1228,9793,84.69055374592834,194,0.797970684039088,Research Council
University of Chicago,USA,1227,12572,78.4841075794621,196,1.3286708231458844,Academic
University of Florence,ITALY,1226,12737,81.56606851549756,197,1.541378792822186,Academic
University of Indonesia,INDONESIA,1226,1827,42.41435562805872,197,0.5263084828711256,Academic
ITMO University,RUSSIA,1217,5553,58.011503697617094,199,0.5931095316351684,Academic
"The Institute of Remote Sensing & Digital Earth, CAS",CHINA MAINLAND,1216,14097,91.85855263157895,200,1.1266110197368422,Research Institute
University of Tennessee Knoxville,USA,1215,11703,68.97119341563786,201,1.1430013991769548,Academic
University of Sevilla,SPAIN,1213,14755,84.99587798845837,202,1.3306112943116242,Academic
University of Pisa,ITALY,1207,10931,80.69594034797018,203,1.2763971002485501,Academic
Hohai University,CHINA MAINLAND,1205,9585,73.85892116182573,204,0.9965096265560166,Academic
Xiamen University,CHINA MAINLAND,1205,10399,78.58921161825727,204,1.0483383402489628,Academic
European Organization for Nuclear Research (CERN),SWITZERLAND,1198,9101,72.37061769616027,206,0.7466624373956595,Research Institute
Beijing Technology & Business University,CHINA MAINLAND,1197,12641,90.39264828738513,207,1.465802255639098,Academic
Lomonosov Moscow State University,RUSSIA,1195,8396,67.19665271966527,208,0.7980039330543933,Academic
NASA Goddard Space Flight Center,USA,1190,18608,86.89075630252101,209,2.129837731092437,Government
McGill University,CANADA,1189,14072,85.36585365853658,210,1.420064844407065,Academic
Beijing Normal University,CHINA MAINLAND,1189,12184,83.51555929352396,210,1.0839147182506308,Academic
State Grid Corporation of China,CHINA MAINLAND,1185,2442,37.80590717299578,212,0.38118362869198313,Corporate
Technische Universitat Dresden,GERMANY (FED REP GER),1184,8044,74.83108108108108,213,1.008763766891892,Academic
Indian Institute of Technology (IIT) - Kharagpur,INDIA,1175,10264,80.59574468085107,214,1.1564987234042552,Academic
University of Minnesota Twin Cities,USA,1174,12449,78.44974446337308,215,1.3104017035775128,Academic
Universiti Malaya,MALAYSIA,1174,13359,83.3901192504259,215,1.2580117546848382,Academic
Czech Technical University Prague,CZECH REPUBLIC,1169,5005,61.24893071000855,217,0.9009064157399487,Academic
Nanjing University,CHINA MAINLAND,1165,12504,81.63090128755364,218,1.2255157939914165,Academic
University of Auckland,NEW ZEALAND,1149,17549,84.76936466492603,219,1.6969433420365536,Academic
NASA Jet Propulsion Laboratory (JPL),USA,1140,15477,86.40350877192982,220,1.6894441228070176,Government
University of Sheffield,ENGLAND,1140,12240,82.80701754385966,220,1.513447807017544,Academic
China University of Petroleum,CHINA MAINLAND,1139,10730,74.2756804214223,222,1.1151562774363477,Academic
University of Melbourne,AUSTRALIA,1136,14638,86.26760563380282,223,1.3903480633802818,Academic
University of Hannover,GERMANY (FED REP GER),1135,9913,76.47577092511013,224,1.4122493392070485,Academic
University of Texas Austin,USA,1132,11930,82.06713780918727,225,1.3924372791519435,Academic
Beijing University of Posts & Telecommunications,CHINA MAINLAND,1132,5599,59.805653710247356,225,1.0063049469964664,Academic
Ocean University of China,CHINA MAINLAND,1131,10469,81.2555260831123,227,1.1219660477453581,Academic
University of Missouri System,USA,1123,10402,76.7586821015138,228,1.2433314336598398,Academic System
Technische Universitat Wien,AUSTRIA,1121,11167,73.86262265834077,229,1.6442823371989297,Academic
Nagoya University,JAPAN,1118,6040,72.00357781753131,230,0.7777559928443649,Academic
University of Quebec,CANADA,1114,9104,77.10951526032316,231,1.236930879712747,Academic System
University of Colorado System,USA,1114,14600,75.76301615798923,231,1.5097592459605027,Academic System
Universite de Montpellier,FRANCE,1112,11390,86.2410071942446,233,1.3225288669064748,Academic
Johns Hopkins University,USA,1111,11165,73.98739873987398,234,1.845764176417642,Academic
Kyungpook National University,SOUTH KOREA,1111,9136,83.43834383438345,234,0.9085957695769578,Academic
Technical University of Berlin,GERMANY (FED REP GER),1103,9355,79.78241160471443,236,1.599472438803264,Academic
PSL Research University Paris (ComUE),FRANCE,1101,9386,74.5685740236149,237,1.2833782924613988,Academic
King Abdulaziz University,SAUDI ARABIA,1099,18401,86.89717925386715,238,1.7975084622383986,Academic
University of Twente,NETHERLANDS,1093,14613,83.44007319304666,239,1.5714375114364136,Academic
National Cheng Kung University,TAIWAN,1088,6434,71.41544117647058,240,0.6699504595588236,Academic
University of Sydney,AUSTRALIA,1084,12169,82.28782287822878,241,1.7374567343173433,Academic
Royal Institute of Technology,SWEDEN,1082,10607,81.05360443622921,242,1.474743438077634,Academic
Huazhong Agricultural University,CHINA MAINLAND,1077,13309,91.55060352831941,243,1.5098147632311978,Academic
University of Zagreb,CROATIA,1077,9480,78.18012999071496,243,1.090893686165274,Academic
CNRS - Institute of Chemistry (INC),FRANCE,1069,9726,86.90364826941067,245,0.9557507015902713,Research Institute
Arizona State University,USA,1068,9880,75.187265917603,246,1.4963132958801497,Academic System
Instituto Politecnico Nacional - Mexico,MEXICO,1068,8962,78.65168539325843,246,0.9205068352059925,Academic
Aalborg University,DENMARK,1064,11536,77.81954887218046,248,1.5934397556390978,Academic
Warsaw University of Technology,POLAND,1064,6944,73.59022556390977,248,0.9678330827067669,Academic
Jinan University,CHINA MAINLAND,1062,10539,85.969868173258,250,1.2525762711864408,Academic
University of California Los Angeles,USA,1046,10875,78.0114722753346,251,1.4111080305927342,Academic
Commonwealth Scientific & Industrial Research Organisation (CSIRO),AUSTRALIA,1042,11674,85.6046065259117,252,1.395225047984645,Government
Universite de Lorraine,FRANCE,1040,9606,82.5,253,1.089072403846154,Academic
Universidade do Minho,PORTUGAL,1038,11699,78.90173410404624,254,1.5017592485549134,Academic
Universite Bourgogne Franche-Comte (ComUE),FRANCE,1037,11256,79.65284474445517,255,1.3059787849566056,Academic System
University College Dublin,IRELAND,1030,17025,89.2233009708738,256,1.9024429126213593,Academic
Kyung Hee University,SOUTH KOREA,1020,9326,85.98039215686275,257,1.0394192156862745,Academic
Amirkabir University of Technology,IRAN,1018,9821,83.2023575638507,258,1.0961748526522594,Academic
National Academy of Sciences Ukraine,UKRAINE,1018,5257,55.10805500982319,258,0.6238471512770137,National Academy
Indian Institute of Technology (IIT) - Delhi,INDIA,1018,10031,82.90766208251473,258,1.219717583497053,Academic
University of Tun Hussein Onn Malaysia,MALAYSIA,1017,2762,57.91543756145526,261,0.7644977384464111,Academic
Universite de Bordeaux,FRANCE,1017,9289,80.33431661750245,261,1.1201423795476892,Academic
University of Southampton,ENGLAND,1016,12118,78.54330708661418,263,1.3355970472440948,Academic
Kyushu University,JAPAN,1015,5049,71.03448275862068,264,0.7154397044334976,Academic
Aarhus University,DENMARK,1008,10156,86.01190476190477,265,1.2710686507936508,Academic
Chinese University of Hong Kong,HONG KONG,1007,16851,84.40913604766634,266,3.1449928500496527,Academic
Zhejiang University of Technology,CHINA MAINLAND,1005,8928,82.78606965174129,267,1.1888572139303484,Academic
Aix-Marseille Universite,FRANCE,1003,6972,75.77268195413758,268,1.0252872382851446,Academic
Guangdong University of Technology,CHINA MAINLAND,1003,9265,77.3678963110668,268,1.1713010967098705,Academic
University of Basque Country,SPAIN,1002,8260,81.0379241516966,270,1.217884231536926,Academic
Sharif University of Technology,IRAN,1001,7129,78.12187812187813,271,0.9375551448551449,Academic
Columbia University,USA,1000,9781,66.2,272,1.2962587,Academic
Poznan University of Technology,POLAND,995,6307,70.0502512562814,273,1.3323287437185931,Academic
University of Massachusetts Amherst,USA,992,17993,88.91129032258065,274,2.0035220766129034,Academic
University of Catania,ITALY,992,10157,81.45161290322581,274,1.2886257056451613,Academic
Chalmers University of Technology,SWEDEN,992,8200,80.24193548387096,274,1.4282077620967744,Academic
Indian Institute of Technology (IIT) - Madras,INDIA,992,7182,74.69758064516128,274,1.079642237903226,Academic
University of Strathclyde,SCOTLAND,991,7970,75.37840565085772,278,1.0060221997981837,Academic
University of Washington,USA,990,12429,77.87878787878788,279,1.8870267676767678,Academic System
University of Turin,ITALY,986,11270,85.6997971602434,280,1.409438742393509,Academic
University of Montreal,CANADA,984,8076,81.8089430894309,281,1.1395505081300814,Academic
University of Johannesburg,SOUTH AFRICA,983,5648,67.34486266531027,282,1.344672533062055,Academic
Chung Ang University,SOUTH KOREA,982,8006,85.43788187372708,283,0.8978476578411406,Academic
University of Arizona,USA,975,6529,62.05128205128205,284,0.9758163076923078,Academic
Fudan University,CHINA MAINLAND,975,9254,77.02564102564102,284,1.325872923076923,Academic
Empresa Brasileira de Pesquisa Agropecuaria (EMBRAPA),BRAZIL,972,10182,86.72839506172839,286,1.1390939300411522,Government
National Yang Ming Chiao Tung University,TAIWAN,971,6425,77.13697219361482,287,0.7909421215242018,Academic
Aalto University,FINLAND,970,8963,78.8659793814433,288,1.32833,Academic
University of Granada,SPAIN,970,10486,86.70103092783505,288,1.2233840206185569,Academic
Washington State University,USA,967,11551,86.34953464322648,290,1.2560342295760083,Academic
